133727	7215	depictions of a love affair	2
62508	3162	-LRB- especially the frank sex scenes -RRB- ensure that the film is never dull	3
144516	7846	CleanFlicks version	2
28556	1319	this summer 's new action film	2
142073	7707	The gags are often a stitch .	3
115326	6142	unsung	2
149086	8112	drama that reveals the curse of a self-hatred instilled by rigid social mores	2
73756	3772	of the Brosnan bunch	2
34211	1607	ca n't remember a single name responsible for it	1
103967	5483	continue to impress	3
99356	5210	make a convincing case for the relevance of these two 20th-century footnotes .	2
114561	6094	a howlingly trashy time	2
65910	3342	takes a surprising , subtle turn at the midway point	3
109668	5810	of his images	2
12510	536	screenwriting textbook	2
9962	418	walked away from this new version of E.T. just as I hoped I would -- with moist eyes	4
68964	3503	Besson	2
55643	2781	's surprising	2
94647	4940	'm almost recommending it , anyway	2
101229	5321	the work of a dilettante	2
100991	5304	to receive	2
15712	675	-LRB- Dong -RRB- makes a valiant effort to understand everyone 's point of view , and	4
111957	5942	overpowered	2
82235	4244	At 90 minutes this movie is short , but it feels much longer	1
127849	6876	is a tale worth catching	4
49740	2440	a comically dismal social realism with a farcically bawdy fantasy of redemption and regeneration	3
112033	5946	is well worth seeing	4
146090	7944	If we sometimes need comforting fantasies about mental illness	2
46506	2261	even very small children will be impressed by this tired retread	3
140810	7638	to be a one-trick pony	1
87951	4567	recreation	2
114127	6066	grows as dull as its characters , about whose fate it is hard to care .	0
111355	5905	`` Ballistic : Ecks vs. Sever '' seems as safe as a children 's film .	1
124519	6691	Will undoubtedly play well in European markets , where Mr. Besson is a brand name , and in Asia , where Ms. Shu is an institution , but	3
141375	7669	A finely tuned mood	3
55495	2770	come to Earth	3
99400	5212	Australia	2
6585	261	1915	2
79308	4084	lean spinoff of last summer 's bloated effects fest The Mummy Returns .	2
65167	3297	's been in years	2
44013	2133	and unsentimental treatment	2
122779	6586	to make a film in which someone has to be hired to portray Richard Dawson	1
140946	7643	practitioners	2
34946	1644	-LRB- but by no means all -RRB-	2
124701	6701	is dreary and sluggish .	1
87597	4548	recycling	3
80546	4149	Enchanted	4
15640	670	it lying there	2
11879	510	of what is really an amusing concept -- a high-tech tux that transforms its wearer into a superman	3
62946	3185	clever and funny	3
40616	1944	is about grief	1
114658	6100	a major movie	3
5181	205	slight	2
114362	6082	up out of John C. Walsh 's Pipe Dream	1
153988	8413	is a blunt indictment , part of a perhaps surreal campaign to bring Kissinger to trial for crimes against humanity .	2
142497	7734	screenplay level	2
75477	3869	smorgasbord	2
30885	1437	typical documentary footage	2
88687	4608	of a particular theatrical family	3
